,Bedroom Info,Bathroom Info,Rooms Info,Interior Info,Exterior Info,Property Info,Laundry Info,Fireplace Info,Flooring Info,Kitchen+Dining Info,Living Room Info
0,[],[],['deck'],[],[],"['fireplace', 'dryer', 'washer']",[],[],[],['bar'],"['pantry', 'bar']"
2,[],"['walk', 'walk']",['patio'],['fireplace'],[],"['wood', 'vaulted', 'walk']",[],[],[],[],"['granite', 'marble', 'walk', 'pantry']"
4,[],[],"['patio', 'patio']",[],[],"['dryer', 'washer', 'wood', 'walk']",[],[],[],[],[]
5,[],[],[],['fireplace'],[],['wood'],[],[],[],[],[]
7,[],[],['hot tub'],['wood'],[],"['island', 'spa']",[],[],[],[],[]
8,[],[],[],[],[],"['wood', 'laminate']",[],[],[],[],[]
9,[],[],"['pool', 'spa', 'spa']","['fireplace', 'fireplace']",[],"['vaulted', 'pool', 'spa', 'carpet', 'laminate']",[],[],[],[],[]
10,[],[],[],[],[],"['washer', 'dryer']",[],[],[],['patio'],['office']
11,[],[],[],[],[],"['bar', 'carpet', 'wood']",[],[],[],[],[]
12,[],[],[],[],['carpet'],[],[],[],[],[],[]
13,[],[],['patio'],[],[],"['carpet', 'laminate', 'pantry', 'laminate', 'fireplace', 'wood', 'fireplace', 'dryer', 'washer', 'washer', 'dryer', 'washer', 'dryer']",[],[],[],[],[]
15,[],[],[],[],[],[],[],[],[],[],[]
16,[],['carpet'],[],[],[],"['fireplace', 'wood', 'fireplace', 'vaulted', 'carpet', 'laminate']",['laminate'],[],"['fireplace', 'vaulted', 'laminate']",[],[]
17,[],[],['walk'],[],[],['walk'],[],[],[],[],[]
18,[],[],[],[],[],"['pantry', 'walk', 'pantry', 'bar', 'dryer', 'washer', 'carpet']",[],[],[],[],[]
19,[],[],['deck'],[],[],['fireplace'],[],[],[],[],[]
22,[],[],[],[],[],[],[],[],[],[],[]
23,[],[],[],[],[],[],[],[],[],[],[]
24,[],[],[],[],[],[],[],[],[],[],[]
25,[],[],['pool'],[],[],['carpet'],"['pantry', 'island', 'bar']",[],[],[],[]
26,[],[],[],[],[],"['carpet', 'laminate']",['pantry'],[],[],[],[]
27,[],[],[],[],[],[],[],[],[],[],[]
28,[],[],[],[],[],"['fireplace', 'pantry']",[],[],[],[],['wood']
29,[],[],[],[],[],[],[],[],[],[],[]
30,[],[],[],[],[],[],[],[],[],[],[]
31,[],[],['pool'],[],[],"['dryer', 'washer']",[],[],[],[],"['washer', 'dryer']"
32,[],[],"['patio', 'wood']",[],[],"['vaulted', 'fireplace', 'carpet', 'wood']",[],[],[],[],"['washer', 'dryer', 'washer']"
33,[],[],['patio'],[],[],"['wood', 'fireplace']",[],[],[],[],[]
34,[],[],['pool'],[],[],[],[],['dryer'],[],[],[]
35,[],[],"['patio', 'patio', 'patio', 'pool']",[],[],['spa'],['quartz'],[],[],[],[]
36,[],[],"['patio', 'patio', 'pool']",[],[],"['granite', 'spa', 'spa']","['bar', 'granite', 'island']",[],[],[],['walk']
37,[],[],['deck'],['fireplace'],[],"['bar', 'vaulted', 'walk', 'walk', 'pantry', 'bar', 'ceiling fan', 'carpet', 'wood']",[],[],[],[],[]
38,[],[],[],[],[],"['carpet', 'laminate', 'wood', 'island', 'pantry', 'fireplace', 'wood', 'fireplace', 'dryer', 'washer', 'dryer', 'washer', 'dryer']",[],[],[],[],[]
39,[],[],"['deck', 'deck']",[],[],"['dryer', 'washer']",[],[],[],[],[]
40,[],[],[],[],[],"['wood', 'wood']",[],[],[],[],[]
42,[],"['walk', 'walk']",[],['fireplace'],[],"['carpet', 'laminate', 'walk']",[],[],[],[],['pantry']
43,[],[],[],[],[],['carpet'],[],[],[],[],[]
44,['walk'],[],[],[],[],"['patio', 'carpet', 'ceiling fan']","['island', 'pantry']",[],[],[],[]
45,[],[],[],[],[],[],[],[],[],[],[]
46,[],[],[],[],[],"['dryer', 'washer', 'island', 'wood']",[],[],[],[],[]
47,[],[],[],['fireplace'],[],"['dryer', 'washer']",[],[],[],"['ceiling fan', 'washer', 'dryer']",[]
48,[],[],[],[],[],[],[],[],[],[],[]
50,[],['carpet'],[],[],[],[],[],[],['carpet'],[],[]
51,[],[],"['deck', 'patio']",[],[],['fireplace'],[],[],[],[],[]
